,Feature,Hebrew,Indonesian,Korean,Chinese,Greek,Turkish,Japanese,Russian,English,Vietnamese,Persian,Group,Name
46,WALS87A,0,0,1,1,1,1,1,1,1,0,0,order,Is the dominant order of modifying adjective and noun AdjN?
47,WALS88A,0,0,1,1,1,1,1,1,1,0,1,order,Is the dominant order of demonstrative and noun DemN?
48,WALS90A,1,1,0,0,1,0,0,1,1,1,1,order,Does a relative clause predominatly follow a noun?
49,WALS92A,0,0,0,1,0,1,1,0,0,1,0,order,Does a question particle predominatly come at the end of a sentence?
50,WALS93A,1,0,0,0,1,0,0,1,1,0,0,order,Is the position of interrogative phrases obligatory initial in content questions?
51,WALS95A,1,1,0,0,1,0,0,1,1,1,0,order,"Is the dominant word order for object, verb, and adposition VO&Prep?"
52,WALS96A,1,1,0,0,1,0,0,1,1,1,0,order,"Is the dominant word order for object, verb, and relative clause VO&NRel?"
53,WALS97A,1,1,0,0,0,0,0,0,0,1,0,order,"Is the dominant word order for object, verb, and adjective VO&NAdj?"
54,WALS143A,1,1,1,1,1,0,0,1,1,1,0,order,Does clausal negation predominantly precede the verb?
55,WALS144A,1,1,0,1,0,0,0,1,1,1,0,order,Is the order of negation predominantly SNegVO?
